Id,0
53883694,LQ_CLOSE
53885362,LQ_CLOSE
53886689,LQ_CLOSE
53886894,LQ_CLOSE
53887010,LQ_CLOSE
53888134,LQ_EDIT
53888323,LQ_EDIT
53888389,HQ
53888572,HQ
53888830,HQ
53889398,LQ_CLOSE
53889502,HQ
53889696,HQ
53890615,LQ_EDIT
53891811,LQ_CLOSE
53893433,LQ_EDIT
53893514,LQ_EDIT
53894671,LQ_EDIT
53895042,LQ_CLOSE
53895569,HQ
53895929,HQ
53895931,LQ_EDIT
53895979,LQ_CLOSE
53896396,LQ_EDIT
53896641,LQ_EDIT
53896956,LQ_EDIT
53897305,LQ_EDIT
53897710,LQ_CLOSE
53897723,LQ_EDIT
53898190,LQ_EDIT
53898465,HQ
53898592,LQ_EDIT
53898726,LQ_EDIT
53898805,LQ_EDIT
53899049,LQ_EDIT
53899806,LQ_EDIT
53900008,LQ_CLOSE
53900076,HQ
53900396,HQ
53900800,LQ_EDIT
53901019,LQ_CLOSE
53901485,LQ_CLOSE
53901486,LQ_EDIT
53901967,LQ_EDIT
53902097,HQ
53903109,LQ_EDIT
53903165,LQ_CLOSE
53903321,LQ_CLOSE
53903373,LQ_CLOSE
53903580,HQ
53904116,LQ_CLOSE
53904157,LQ_EDIT
53904268,LQ_CLOSE
53904288,LQ_CLOSE
53904944,LQ_CLOSE
53905645,HQ
53906178,LQ_CLOSE
53906694,HQ
53907048,HQ
53907404,LQ_EDIT
53907670,LQ_EDIT
53907917,LQ_CLOSE
53908811,LQ_CLOSE
53909514,LQ_EDIT
53910087,HQ
53910300,HQ
53911502,LQ_CLOSE
53911763,LQ_CLOSE
53911835,LQ_CLOSE
53911954,HQ
53912240,HQ
53912272,LQ_EDIT
53912523,LQ_EDIT
53912616,HQ
53913030,LQ_CLOSE
53913623,LQ_EDIT
53913648,LQ_CLOSE
53913800,LQ_EDIT
53914493,LQ_EDIT
53914951,LQ_CLOSE
53915910,HQ
53916442,LQ_EDIT
53917608,HQ
53917675,LQ_EDIT
53918196,LQ_CLOSE
53918356,LQ_CLOSE
53918524,HQ
53918802,LQ_CLOSE
53918994,LQ_CLOSE
53919591,HQ
53919631,HQ
53919661,LQ_EDIT
53919973,HQ
53920609,LQ_EDIT
53920938,LQ_EDIT
53921071,HQ
53921194,HQ
53921716,LQ_EDIT
53921939,LQ_EDIT
53922016,LQ_EDIT
53922339,HQ
53922376,LQ_EDIT
53922503,HQ
53922905,HQ
53923142,LQ_EDIT
53923289,HQ
53924102,LQ_CLOSE
53925143,LQ_CLOSE
53925380,LQ_EDIT
53926023,HQ
53926858,LQ_EDIT
53927829,LQ_EDIT
53928065,HQ
53928668,LQ_EDIT
53929114,LQ_EDIT
53929693,HQ
53929799,LQ_CLOSE
53930719,LQ_EDIT
53931464,LQ_EDIT
53931615,HQ
